Begin,dissapear,Content,speaker
"00:21:38,567","00:21:42,567",that defendant Hoffman and I are not related.,JUDGE HOFFMAN
"00:21:42,650","00:21:44,067","Father, no!",ABBIE
"00:21:45,567","00:21:48,692","Mr. Hoffman, are you familiar with contempt of court?",JUDGE HOFFMAN
"00:21:49,359","00:21:52,525","It's practically a religion for me, sir.",ABBIE
"00:21:59,067","00:22:02,484","Rennie Davis and Tom Hayden are the leaders of the SDS,",SCHULTZ
"00:22:10,567","00:22:13,150",in order to disrupt the Democratic Convention.,SCHULTZ
"00:22:16,859","00:22:19,525",Their leaders are Abbie Hoffman and Jerry Rubin.,SCHULTZ
"00:22:19,609","00:22:22,984",Bobby Seale is the leader of the Black Panther Party.,JUDGE HOFFMAN
"00:22:23,567","00:22:27,400","Again, the defendants would tell you that these are three distinct groups.",SCHULTZ
"00:22:30,317","00:22:32,442","- May I speak? - No, sir.",BOBBY
"00:22:32,525","00:22:33,609",He just said my name.,BOBBY
"00:22:33,692","00:22:37,442",You're a defendant in this case. You're likely to hear your name.,JUDGE HOFFMAN
"00:22:37,525","00:22:41,275","I have a right to counsel, and His Honor knows that.",BOBBY
"00:22:41,359","00:22:45,525",Don't tell the court what it does and does not know. Be seated.,JUDGE HOFFMAN
"00:22:48,859","00:22:50,234",Mr. Schultz.,JUDGE HOFFMAN
"00:22:55,692","00:22:57,734",They're the radical left in different costumes.,SCHULTZ
"00:22:59,650","00:23:02,484",and a plan among two or more people is a conspiracy.,SCHULTZ
"00:23:03,067","00:23:05,692",The defendants crossed state lines to execute their plan.,SCHULTZ
"00:23:09,400","00:23:11,734",and there's one thing you already know.,SCHULTZ
"00:23:21,817","00:23:22,650",Weiner.,FROINES
"00:24:00,567","00:24:03,734",the defendants are the only ones on record as knowing their own names.,KUNSTLER
"00:24:03,817","00:24:05,567","Be seated, Mr. Schultz...",JUDGE HOFFMAN
"00:24:09,859","00:24:12,275",I object to being characterized as a member of this group.,BOBBY
"00:24:14,775","00:24:16,609",Is Mr. Garry here today?,JUDGE HOFFMAN
"00:24:18,150","00:24:19,692",Are you representing Mr. Seale?,JUDGE HOFFMAN
"00:24:26,609","00:24:28,775",Have you concluded your opening statement?,JUDGE HOFFMAN
"00:24:29,692","00:24:30,817","Yes, Your Honor.",SCHULTZ
"00:24:29,692","00:24:30,817","Yes, Your Honor.",SCHULTZ
"00:24:30,900","00:24:33,567",My lawyer Charles Garry is in a hospital in Oakland,BOBBY
"00:24:37,484","00:24:39,650",You are sitting right next to the man.,JUDGE HOFFMAN
"00:24:39,734","00:24:42,109",Just represent him. It's the same case.,JUDGE HOFFMAN
"00:24:45,109","00:24:47,609",does not satisfy the requirements of due process.,KUNSTLER
"00:24:47,692","00:24:48,775",I have a right--,BOBBY
"00:24:48,859","00:24:53,817",A motion was made for postponement due to Mr. Garry's medical condition.,KUNSTLER
"00:24:53,900","00:24:56,609",I was there. Your Honor denied that motion.,KUNSTLER
"00:24:56,692","00:24:59,775","Therefore, Mr. Seale is here without legal representation.",KUNSTLER
"00:24:59,859","00:25:04,650","I don't care for your general tone, Mr. Kunstler.",JUDGE HOFFMAN
"00:25:07,109","00:25:11,567",I'm trying to be clear that I can't muddy Mr. Seale's grounds for appeal,KUNSTLER
"00:25:13,567","00:25:17,025","I don't ask you to compromise Mr. Seale's position, sir.",JUDGE HOFFMAN
"00:25:17,109","00:25:21,400",But I will not permit him to address the jury,JUDGE HOFFMAN
"00:25:21,484","00:25:23,942",when his perfectly competent lawyer is sitting--,JUDGE HOFFMAN
"00:25:24,025","00:25:26,400","For the fourth time, he's not Bobby's lawyer.",JERRY
"00:25:28,817","00:25:31,275","You're, uh... Mr. Rubin.",JUDGE HOFFMAN
"00:25:33,109","00:25:34,567",Don't ever do that again!,JUDGE HOFFMAN
"00:25:37,317","00:25:39,150","Your Honor, I'm not with these guys.",BOBBY
"00:25:39,234","00:25:42,234",I never met most of them until the indictment.,BOBBY
"00:25:44,734","00:25:48,692","There are signs out there that read, ""Free the Chicago 7."" I'm not with them!",BOBBY
"00:25:48,775","00:25:52,775","- Mr. Marshal, will you seat Mr. Seale? - Conspiracy? I never met most of them.",JUDGE HOFFMAN
"00:25:52,859","00:25:56,484","Frankly, the US attorney wanted a Negro defendant to scare the jury.",BOBBY
"00:26:08,984","00:26:12,817",Charge Mr. Seale with one count of contempt of court.,JUDGE HOFFMAN
"00:26:38,525","00:26:40,192","We have to make a decision right now,",TOM
"00:26:51,567","00:26:54,484","Or to say a pointless ""fuck you"" to the establishment?",TOM
"00:26:54,567","00:26:57,650",- Fuck you! - That is what I was afraid...,TOM
"00:27:01,609","00:27:05,109","If we leave without saying anything about why we came in the first place,",JERRY
"00:27:06,359","00:27:08,692","If the jury finds us guilty, we're not leaving at all.",TOM
"00:27:08,775","00:27:11,359",The only thing we need to say about why we came here,TOM
"00:27:16,067","00:27:18,692",- Why? - The trial shouldn't be about us.,DAVE
"00:28:04,067","00:28:05,067",And he was.,SCHULTZ
"00:28:04,067","00:28:05,067",And he was.,TOM
"00:28:10,192","00:28:11,900",This is it. We're on.,JERRY
"00:28:22,900","00:28:24,400",To end the war.,ABBIE
"00:28:26,817","00:28:30,234",just know the very last thing he wants is for the war to end.,TOM
"00:28:30,317","00:28:35,317",I don't have time for cultural revolution. It distracts from actual revolution.,TOM
"00:28:39,317","00:28:41,234",Has everybody got everything off their chest?,KUNSTLER
"00:28:41,817","00:28:44,400",- What in the name of hell was that? - Evidently not.,FRED
"00:28:44,484","00:28:45,942",You spoke for Bobby.,FRED
"00:28:46,025","00:28:48,442",I made it very clear that I'm not his lawyer.,KUNSTLER
"00:28:48,525","00:28:50,845",- I'd like to sit in on these meetings. - You can't.,FRED
"00:28:50,900","00:28:52,609",- I think I will anyway. - Fred--,FRED
"00:28:52,692","00:28:54,942",Bobby's life is at stake. You're playing to the crowd.,FRED
"00:29:34,234","00:29:35,692","Well, keep trying, all right?",KUNSTLER
"00:29:37,109","00:29:38,150",We're back.,MARSHAL
"00:29:38,817","00:29:39,817",Let's go.,TOM
"00:29:40,359","00:29:43,650","Jerry, Abbie, unless you're asked a direct question,",KUNSTLER
"00:29:46,275","00:29:48,275",- This is a political trial. - What?,ABBIE
"00:29:48,359","00:29:51,859",This is a political trial that was already decided for us.,ABBIE
"00:29:55,150","00:29:58,359",There are civil trials and there are criminal trials.,KUNSTLER
"00:30:18,400","00:30:20,275",Abbie's smarter than you think he is.,WEINGLASS
"00:30:22,275","00:30:24,317",Cows are smarter than I think he is.,TOM
"00:30:26,275","00:30:29,025",- S-T-A-H-L. - What is your occupation?,SCHULTZ
"00:30:29,109","00:30:30,859",I am the mayor's administrative officer.,STAHL
"00:30:30,942","00:30:36,775","Calling your attention to March 26, 1968. Did you have a meeting on that day?",SCHULTZ
"00:30:38,567","00:30:41,859","- Mr. Hoffman and Mr. Rubin, is it? - Abbie and Jerry is fine.",STAHL
"00:30:41,942","00:30:43,359",What was said at that meeting?,SCHULTZ
"00:30:43,442","00:30:47,317",I was told the Youth International Party would be holding a festival of life,STAHL
"00:30:49,817","00:30:52,150",There would be thousands of young people attending,STAHL
"00:30:52,234","00:30:54,275",and there'd be rock bands playing in the park.,STAHL
"00:30:54,359","00:30:55,650",Music will be performed.,JERRY
"00:30:55,734","00:30:57,650",- Rock music? - I would think.,JERRY
"00:30:57,734","00:31:00,317",They also said there would be public fornication.,STAHL
"00:31:00,400","00:31:01,567","Say that again, sir?",SCHULTZ
"00:31:01,650","00:31:03,109",Public fornication.,JERRY
"00:31:03,192","00:31:05,692",You're asking for a Parks permit for public--,STAHL
"00:31:05,775","00:31:07,025",- Yeah. - And rock music.,ABBIE
"00:31:07,109","00:31:08,025","No, of course not.",STAHL
"00:31:08,109","00:31:09,234",What if it was R&B?,ABBIE
"00:31:09,317","00:31:12,109","- Did you issue the permits? - No, I did not.",SCHULTZ
"00:31:12,692","00:31:17,567","And what, if anything, did Abbie Hoffman say when you denied their request?",SCHULTZ
"00:31:20,025","00:31:24,609",There's gonna be a festival of life in Grant Park held during the convention.,STAHL
"00:31:24,692","00:31:28,442",Bands will play rock music. There will be public fornication.,ABBIE
"00:31:31,359","00:31:35,150","Psychedelic, long-haired leftists will consort with dope users.",ABBIE
"00:31:43,192","00:31:45,775",Hotels will be filled with delegates. Where will people sleep?,STAHL
"00:31:45,859","00:31:48,525","Some will sleep in tents, others will live frivolously.",ABBIE
"00:31:48,609","00:31:50,567",- How many people are coming? - A lot.,STAHL
"00:31:50,650","00:31:53,942",What's a lot? A thousand? Two thousand?,STAHL
"00:31:58,025","00:32:01,150",Did Abbie Hoffman add anything at the end of the meeting?,SCHULTZ
